"location","year","Depressive disorders","Major depressive disorder","Dysthymia","Anxiety disorders","mn_pos","mn_neg","ratio","total"
"Central African Republic",2017,3.45509847199,2.63402457297,0.891557613392,3.08258810378,211.94696969697,130.931818181818,0.617757443614398,342.878787878788
"Haiti",2017,2.63878843322,1.85083550864,0.828413332976,4.36112990161,211.94696969697,130.931818181818,0.617757443614398,342.878787878788
"Latvia",2017,4.63453229171,2.7275977153,2.01596504733,3.17028707362,85.615876539295,69.6326304106548,0.813314460183044,155.24850694995
"Saudi Arabia",2017,3.79370968894,2.77916612675,1.08266423649,5.23658893609,271.964285714286,137.428571428571,0.505318450426789,409.392857142857
"Venezuela",2017,2.8717376997,2.03169128556,0.884142764155,2.94974141695,210.277227722772,146.445544554455,0.696440342781806,356.722772277228
"Turkmenistan",2017,2.69343845359,1.59637753956,1.1395869594,2.53669098952,124.952380952381,104,0.832317073170732,228.952380952381
"Tanzania",2017,2.71971994306,1.92529369656,0.844785723679,3.24955269815,81.75,54.3333333333333,0.664627930682977,136.083333333333
"Cyprus",2017,3.80158573149,2.0112009273,1.85861188785,5.49967627036,106.222222222222,54.6666666666667,0.514644351464435,160.888888888889
"Syria",2017,3.3541877676,2.42651324044,0.98750130676,4.95491540725,271.964285714286,137.428571428571,0.505318450426789,409.392857142857
"Jamaica",2017,2.75382513152,1.75686106553,1.03488982147,4.81960159456,20,16,0.8,36
"American Samoa",2017,2.78778846857,1.33873973261,1.49285835302,3.3031463784,87.6666666666667,90.3333333333333,1.03041825095057,178
"Chile",2017,4.37134127755,2.78695915003,1.67379821089,6.52785682688,210.277227722772,146.445544554455,0.696440342781806,356.722772277228
"Uzbekistan",2017,2.71916874742,1.65415840794,1.10762136017,2.53647325737,124.952380952381,104,0.832317073170732,228.952380952381
"Guinea",2017,2.55903926285,1.78361992419,0.824247593192,2.62965199408,211.94696969697,130.931818181818,0.617757443614398,342.878787878788
"Kiribati",2017,2.68112428741,1.4571742026,1.26780754515,3.0134487295,20,16,0.8,36
"Suriname",2017,4.12912249654,3.19496379522,1.01813306508,4.71143709997,127.47619047619,92.9047619047619,0.728800896525962,220.380952380952
"Fiji",2017,3.0886132747,1.60193306749,1.54101601926,3.25338751561,20,16,0.8,36
"Uruguay",2017,3.89979612848,2.29875552545,1.67112877838,6.4644463533,210.277227722772,146.445544554455,0.696440342781806,356.722772277228
"China",2017,4.15545483488,2.11387222137,2.1390797692,3.29885243777,305.877551020408,206.897959183673,0.676407792900987,512.775510204082
"Argentina",2017,3.82907697364,2.30807193904,1.59188323732,6.41396801322,210.277227722772,146.445544554455,0.696440342781806,356.722772277228
"Trinidad and Tobago",2017,3.70489854219,2.62932147906,1.13964298706,4.89312144744,20,16,0.8,36
"Lithuania",2017,5.39673230208,3.54104426903,2.00239062427,3.17435717868,50.7692307692308,52.6153846153846,1.03636363636364,103.384615384615
"Marshall Islands",2017,2.73151938692,1.46514666833,1.31081991762,3.09790545898,155,117,0.754838709677419,272
"Uganda",2017,3.3491530636,2.65638699072,0.767245779777,3.05511536305,20,16,0.8,36
