measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Kiribati,Both,All Ages,Major depressive disorder,Number,2017,2489.72778368,2801.34058132,2217.8085364
Incidence,Kiribati,Both,All Ages,Dysthymia,Number,2017,224.974366322,258.641306523,195.181819614
Incidence,Kiribati,Both,All Ages,Anxiety disorders,Number,2017,597.464215815,643.091590576,556.35056445
Incidence,Lebanon,Both,All Ages,Major depressive disorder,Number,2017,320873.951334,361138.950941,287425.12809
Incidence,Lebanon,Both,All Ages,Dysthymia,Number,2017,13891.2962189,15975.2331553,12086.0637632
Incidence,Lebanon,Both,All Ages,Anxiety disorders,Number,2017,66841.0174601,72270.1277512,62151.5455388
Incidence,Israel,Both,All Ages,Major depressive disorder,Number,2017,292132.929313,323409.026585,263571.098761
Incidence,Israel,Both,All Ages,Dysthymia,Number,2017,18580.1861334,21189.4752682,16100.6894708
Incidence,Israel,Both,All Ages,Anxiety disorders,Number,2017,42380.7687786,45246.5071659,39841.4914141
Incidence,Somalia,Both,All Ages,Major depressive disorder,Number,2017,470835.779893,528656.346279,419013.966866
Incidence,Somalia,Both,All Ages,Dysthymia,Number,2017,24045.5197869,27675.1325218,20618.2040515
Incidence,Somalia,Both,All Ages,Anxiety disorders,Number,2017,90145.9908031,97154.5721233,83133.3235267
Incidence,Costa Rica,Both,All Ages,Anxiety disorders,Number,2017,21836.7833048,23499.9173909,20365.6865622
Incidence,Antigua and Barbuda,Both,All Ages,Major depressive disorder,Number,2017,2294.61400274,2557.0577805,2065.15225282
Incidence,Antigua and Barbuda,Both,All Ages,Dysthymia,Number,2017,165.754477365,188.967999371,143.813802238
Incidence,Italy,Both,All Ages,Major depressive disorder,Number,2017,2141927.73107,2375335.8485,1946113.97913
Incidence,Italy,Both,All Ages,Dysthymia,Number,2017,132513.937079,151398.821996,115071.584036
Incidence,Italy,Both,All Ages,Anxiety disorders,Number,2017,367169.251492,389409.022995,343592.044702
Incidence,Bosnia and Herzegovina,Both,All Ages,Major depressive disorder,Number,2017,86675.0323132,96877.1416077,77799.1404712
Incidence,Bosnia and Herzegovina,Both,All Ages,Dysthymia,Number,2017,6681.83290475,7672.52082854,5855.27970998
Incidence,Bosnia and Herzegovina,Both,All Ages,Anxiety disorders,Number,2017,16855.4834569,18085.512896,15679.4050573
Incidence,Angola,Both,All Ages,Major depressive disorder,Number,2017,944540.859592,1062435.90938,843415.717618
Incidence,Angola,Both,All Ages,Dysthymia,Number,2017,40500.4157426,46339.8112175,34959.8469356
Incidence,Angola,Both,All Ages,Anxiety disorders,Number,2017,147040.938629,159577.186153,136111.078564
Incidence,The Bahamas,Both,All Ages,Major depressive disorder,Number,2017,9660.96323057,10768.900494,8732.55441312
Incidence,The Bahamas,Both,All Ages,Dysthymia,Number,2017,681.229764275,777.526773018,590.490002002
Incidence,The Bahamas,Both,All Ages,Anxiety disorders,Number,2017,2468.75469384,2638.59281708,2299.74747618
Incidence,Brunei,Both,All Ages,Major depressive disorder,Number,2017,8932.76335817,10052.2932573,7961.38863656
Incidence,Brunei,Both,All Ages,Dysthymia,Number,2017,854.00545638,985.178561273,732.837511651
Incidence,Brunei,Both,All Ages,Anxiety disorders,Number,2017,2417.24466076,2592.03673593,2251.21647887
Incidence,Marshall Islands,Both,All Ages,Major depressive disorder,Number,2017,1187.54299105,1324.31921779,1066.08967022
Incidence,Marshall Islands,Both,All Ages,Dysthymia,Number,2017,110.757300554,127.915625018,96.1894111268
Incidence,Marshall Islands,Both,All Ages,Anxiety disorders,Number,2017,292.077369099,314.42765177,272.493605024
Incidence,Bulgaria,Both,All Ages,Major depressive disorder,Number,2017,212988.855081,235665.199378,192878.717108
Incidence,Bulgaria,Both,All Ages,Dysthymia,Number,2017,14894.2872249,17012.1045626,13061.2136271
Incidence,Bulgaria,Both,All Ages,Anxiety disorders,Number,2017,34907.0892265,37110.4572457,32596.0111898
Incidence,Antigua and Barbuda,Both,All Ages,Anxiety disorders,Number,2017,575.479007767,615.317115662,535.909454063
Incidence,Guinea-Bissau,Both,All Ages,Major depressive disorder,Number,2017,50020.2476431,55811.3106978,44641.8059818
Incidence,Guinea-Bissau,Both,All Ages,Dysthymia,Number,2017,2776.09301352,3184.641146,2382.81728722
Incidence,Guinea-Bissau,Both,All Ages,Anxiety disorders,Number,2017,9155.39716045,9838.83056978,8466.98975191
Incidence,China,Both,All Ages,Major depressive disorder,Number,2017,42333562.548,46712230.5591,38437903.6805
Incidence,China,Both,All Ages,Dysthymia,Number,2017,3834051.9148,4423174.74352,3299875.96872
Incidence,China,Both,All Ages,Anxiety disorders,Number,2017,6713577.86801,7223006.76671,6229520.27135
Incidence,Japan,Both,All Ages,Major depressive disorder,Number,2017,4378858.4543,4761228.87525,4042781.70086
Incidence,Japan,Both,All Ages,Dysthymia,Number,2017,269587.420492,303429.63735,237694.040927
Incidence,Japan,Both,All Ages,Anxiety disorders,Number,2017,596853.954687,641312.365964,555090.042
Incidence,Barbados,Both,All Ages,Major depressive disorder,Number,2017,8989.14497525,9929.81958274,8083.9141796
Incidence,Barbados,Both,All Ages,Dysthymia,Number,2017,586.084451049,663.615054918,510.831916471
Incidence,Barbados,Both,All Ages,Anxiety disorders,Number,2017,1823.87631048,1950.47099801,1702.21553605
Incidence,Tanzania,Both,All Ages,Major depressive disorder,Number,2017,1526733.71234,1704385.14678,1363276.8594
Incidence,Tanzania,Both,All Ages,Dysthymia,Number,2017,80552.392865,92699.2639121,69249.5611681
Incidence,Tanzania,Both,All Ages,Anxiety disorders,Number,2017,290209.434421,312656.598787,268051.509394
Incidence,Liberia,Both,All Ages,Major depressive disorder,Number,2017,142890.486134,157535.262346,129281.659616
Incidence,Liberia,Both,All Ages,Dysthymia,Number,2017,7265.99276109,8313.30584337,6269.24809836
Incidence,Liberia,Both,All Ages,Anxiety disorders,Number,2017,23641.4558122,25446.0059239,21924.591698
Incidence,Federated States of Micronesia,Both,All Ages,Major depressive disorder,Number,2017,2302.16603615,2581.82904795,2073.05249413
