id,year,title,langname,gcode,area,langfamily,affiliation,longitude,latitude
mdp.39015029444596,1992,Aḋṅa-mat̂-n̂a-English dictionary / John McEntee and Pearl McKenzie.,Adnyamathanha,adny1235,Australia,Pama-Nyungan,"Pama-Nyungan,Arandic-Thura-Yura,Thura-Yura,Core Thura Yura,Northern Thura-Yura",138.671,-30.1451
mdp.39015041293906,1992,"A Badaga-English dictionary / by Paul Hockings, Christiane Pilot-Raichoor; forward by Murray B. Emeneau.",Badaga,bada1257,Eurasia,Dravidian,"Dravidian,South Dravidian,South Dravidian I,Tamil-Kannada,Badaga-Kannada",76.5974,11.3094
mdp.39015008988969,1979,A Balinese-English dictionary / by C. Clyde Barber._v.1,Balinese,bali1278,Papunesia,Austronesian,"Austronesian,Malayo-Polynesian,Malayo-Sumbawan,Northand East Malayo-Sumbawan,Bali-Sasak-Sumbawa",115.075,-8.35714
uva.x000310112,1975,"A basic English-French contextual dictionary / compiled and edited by John H. Brueckner ; French language consultants, Gérard Karcher ... [et al.].",French,stan1290,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Northwestern Shifted Romance,Gallo-Rhaetian,Oil,Central Oil,Macro-French,Global French",2,48
mdp.39015053165034,1975,A basic English-Shona dictionary / Desmond Dale.,Shona,shon1251,Africa,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Narrow Bantu,East Bantu,Shona (S.10),Core Shona,Plateau Shona,Central Shona",29.75725,-17.20849
uc1.31158003003034,1887,Abcarius' abridged English and Arabic dictionary / Yuḥannā Abkāriyūs.,North Levantine Arabic,nort3139,Eurasia,Afro-Asiatic,"Afro-Asiatic,Semitic,West Semitic,Central Semitic,Arabian,Arabic,Levantine Arabic",36.0468,34.1709
uva.x004068501,1996,"ABC Chinese-English dictionary : alphabetically based computerized / editor, John DeFrancis ; associate editors, Bai Yuqing ... [et al.].",Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
uc1.b4437118,1949,"A.B.C. Japanese-English dictionary. An entirely new method of classification of the Chinese-Japanese characters, by Oreste Vaccari and Enko Elisa Vaccari._v.2",Japanese,nucl1643,Eurasia,Japonic,"Japonic,Japanesic,Japan-Taiwan Japanese",135,35
mdp.39015067817695,2006,"ABC Oxford practical dictionary : English into English and Urdu / compiled by M. Raza-ul-Haq Badakhshani, M. Saqlain Bhatti.",Urdu,urdu1245,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Centralzone,Subcontinental Central Indo-Aryan,Western Hindi,Hindustani",67,25
mdp.39015061543255,2002,"Śabda-sāgara, or, A comprehensive Sanskrit-English lexicon : chiefly based on Professor Horace Hayman Wilson's Sanskrit-English dictionary and compiled from various recent authorities for the use of schools and colleges / by Jibananda Vidyasagara.",Sanskrit,sans1269,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan",77,20
inu.32000002813659,1958,A Beginners' Chinese-English dictionary of the national language (Gwoyeu) / by W. Simon.,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
uiug.30112065518554,1951,Abridged edition of the student's English - Burmese dictionary / by Tun Nyein.,Burmese,nucl1310,Eurasia,Sino-Tibetan,"Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese,Burmish,Southern Burmish,Nuclear Southern Burmish,Old-Modern Burmese",93.9665,20.7926
uva.x000832923,1980,"Abuan-English, English-Abuan dictionary / compiled by Ian Gardner.",Abua,abua1244,Africa,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Delta Cross,Central Delta,Abua-Odual",6.61492,4.83057
mdp.39015046004506,1981,"A Burmese-English dictionary; compiled by J. A. Stewart and C. W. Dunn, from material supplied by a large number of contributors._pt.3",Burmese,nucl1310,Eurasia,Sino-Tibetan,"Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese,Burmish,Southern Burmish,Nuclear Southern Burmish,Old-Modern Burmese",93.9665,20.7926
inu.30000054513407,1995,"Abwaan Cusub oo Af-Soomaali iyo Af-Ingiriisiya = A modern Somali-English dictionary / Abdirahman A. Farah ""Barwaaqo.""",Somali,soma1255,Africa,Afro-Asiatic,"Afro-Asiatic,Cushitic,East Cushitic,Lowland East Cushitic,Southern Lowland East Cushitic,Mainstream Lowland East Cushitic,Omo-Tana,Eastern Omo-Tana",45.152856,4.778704
mdp.39015071199627,1907,A Cheap and concise dictionary of the Ojibway and English languages / compiled and abridged from larger editions by English and French authors._pt.2,Central Ojibwa,cent2136,North America,Algic,"Algic,Algonquian,Eastern Great Lakes Algonquian,Ojibwa-Potawatomi,Ojibwa,Nuclear Ojibwe,Central-Eastern-Southwestern Ojibwa",275.8457,46.5741
uc2.ark+=13960=t6sx6kj0c,1907,A Chinese and English dictionary : arranged according to radicals and sub-radicals / by P. Poletti.,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
hvd.32044036315430,1874,A Chinese and English pocket dictionary.,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
mdp.39015086589044,1892,A Chinese-English dictionary.,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
osu.32435058619396,1978,A Chinese-English dictionary / by Herbert A. Giles.,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
mdp.39015066421978,1970,"A Chinese-English dictionary. : Hakka-dialect as spoken in Kwang-tung province / Prepared by D. Maciver, M.A. Revised by M.C. Mackenzie.",Hakka Chinese,hakk1236,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic",116,25
uc1.$c135247,1973,"A Chinese-English dictionary in the Cantonese dialect, by Ernest John Eitel.",Cantonese,cant1236,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Yue-Pinghua,Yue Chinese,Yuehai",NA,NA
mdp.39015040030879,1991,"A Chinese-English dictionary of the Wu dialect : featuring the dialect of the city of Shanghai / [Thomas Creamer, editor in chief ... [et al.].",Wu Chinese,wuch1236,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Wu-Hui Chinese",119.682,29.8621
hvd.32044100017367,1828,A companion to Johnson's Dictionary in English and Bengalee. To which is prefixed an introduction to the Bengalee language. Adapted for the use of both native and European students. Vol. II. By John Mendies ..._v.2,Bengali,beng1280,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Easternzone,Oriya-Gauda-Kamrupa,Gauda-Kamrupa,Gauda-Banga",90,24
hvd.hwjlh5,1830,"A comparative dictionary of the German and English languages, arranged, on a new system, for the purpose of facilitating the student in the acquirement of the German tongue, by H. Berthold ...",German,stan1295,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Upper German,Middle-Modern High German,Modern High German,Upper Franconian,Global German",12.4676,48.649
uc1.c083960613,1920,A comparative dictionary of the Pwo-Karen dialect : English-Pwo-Karen / compiled by W.C.B. Purser and Saya Tun Aung.,Pwo Eastern Karen,pwoe1235,Eurasia,Sino-Tibetan,"Sino-Tibetan,Karenic,Peripheral Karen,Pwo,Eastern-Western Pwo Karen",98.7355,15.1915
uva.x000077475,1979,A comparative dictionary of the Tahitian language : Tahitian-English with an English-Tahitian finding list / by Edmund Andrews and Irene D. Andrews.,Tahitian,tahi1242,Papunesia,Austronesian,"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Central Pacificlinkage,Tokelau-Fijian,Polynesian,Nuclear Polynesian,Northern Outlier Polynesian-East Polynesian,Solomons Northern Outlier Polynesian-East Polynesian,Central Northern Outlier Polynesian-East Polynesian,East Polynesian,Central Eastern Polynesian,Tahitian-Austral",210.55,-17.6485
nyp.33433070242890,1874,A compendious dictionary of the French language. (French-English - English-French),French,stan1290,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Northwestern Shifted Romance,Gallo-Rhaetian,Oil,Central Oil,Macro-French,Global French",2,48
hvd.hwsi9b,1874,"A compendious dictionary of the French language (French, English:- English-French). Followed by a list of the principal diverging derivations, and preceded by chronological and historical tables.",French,stan1290,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Northwestern Shifted Romance,Gallo-Rhaetian,Oil,Central Oil,Macro-French,Global French",2,48
coo1.ark+=13960=t23b6kx7h,1882,"A compendious German and English dictionary : German-English, English-German : with notation of correspondences and brief etymologies / by William Dwight Whitney, assisted by August Hjalmar Edgren.",German,stan1295,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Upper German,Middle-Modern High German,Modern High German,Upper Franconian,Global German",12.4676,48.649
uc1.c042147711,1915,"A compendious German and English dictionary, with notation of correspondences and brief etymologies, by William Dwight Whitney, assisted by August Hjalmar Edgren.",German,stan1295,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Upper German,Middle-Modern High German,Modern High German,Upper Franconian,Global German",12.4676,48.649
uc1.c040941012,1890,"A compendium of Molesworth's Marathi and English dictionary, by Baba Padmanji.",Marathi,mara1378,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Southernzone,Marathic",76.6665,17.9344
mdp.39015014855962,1802,"A compleat English-German, German-English dictionary : Vollständiges Englisch-Deutsches und Deutsch-Englisches Lexicon._v.1",German,stan1295,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Upper German,Middle-Modern High German,Modern High German,Upper Franconian,Global German",12.4676,48.649
coo.31924014111862,1925,A complete Chinese-English dictionary.,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
uc1.l0085268639,1937,A complete Chinese-English dictionary / by O. Z. Tsang.,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
chi.14683124,1851,"A complete dictionary English and Polish and Polish and English, comp. from the dictionaries of Johnson, Webster, Walker, Fleming and Tibbins, etc. from the Polish lexicon of Linde and the Polish German dictionary of Mrongovius ..._v.2",Polish,poli1260,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,West Slavic,Lechitic",18.6255,51.8439
hvd.hwsh8t,1847,A complete dictionary of the English and German and German and English languages …_2,German,stan1295,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Upper German,Middle-Modern High German,Modern High German,Upper Franconian,Global German",12.4676,48.649
hvd.hwjlfm,1830,A complete dictionary of the English and German and German and English languages : containing all the words in general use._v.2,German,stan1295,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Upper German,Middle-Modern High German,Modern High German,Upper Franconian,Global German",12.4676,48.649
uc1.32106020066517,1838,"A complete dictionary of the English and German, and German and English languages. v.1. English and German compiled by J.G. Flugel (v.2. German and English..by J. Sporschil)._v.1",German,stan1295,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Upper German,Middle-Modern High German,Modern High German,Upper Franconian,Global German",12.4676,48.649
loc.ark+=13960=t8hd9264n,1843,"A complete English-Latin and Latin-English dictionary,",Latin,lati1261,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin",12.4502,41.9026
hvd.hwsfxr,1871,A complete English-Latin and Latin-English dictionary. Chiefly from the German New ed.,Latin,lati1261,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin",12.4502,41.9026
hvd.hwmjz8,1846,A complete Hebrew and English critical and pronouncing dictionary.,Standard Hebrew,stan1314,Eurasia,Afro-Asiatic,"Afro-Asiatic,Semitic,West Semitic,Central Semitic,Northwest Semitic,Canaanite,Hebrewic,Modern Hebrew",NA,NA
uc1.31378007584249,1903,A complete Latin-English and English-Latin dictionary for the use of junior students.,Latin,lati1261,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin",12.4502,41.9026
