Country,Language,Percentage
Afghanistan,Dari ,80
Akrotiri,,
Albania,Albanian,98.8
Algeria,"Arabic, French, Berber, Tamazight",100
American Samoa,Samoan,88.6
Andorra,Catalan,100
Angola,Portuguese,71.2
Angola,Umbundu,23
Anguilla,English,100
Antigua and Barbuda,English,100
Argentina,Spanish,100
Armenia,Armenian,100
Aruba,Papiamento,100
Australia,English,72.7
Austria,German,88.6
Azerbaijan,Azerbaijani / Azeri,92.5
"Bahamas, The",English,100
Bahrain,Arabic,100
Bangladesh,Bangla,98.8
Barbados,English,100
Belarus,Russian,70.2
Belarus,Belarusian,23.4
Belgium,Dutch,60
Belgium,French,40
Belize,English,62.9
Belize,Spanish,56.6
Benin,French,100
Bermuda,English,100
Bhutan,,
Bolivia,Spanish,60.7
Bolivia,Quechua,21.2
Bosnia and Herzegovina,Bosnian,52.9
Bosnia and Herzegovina,Serbian,30.8
Botswana,Setswana,77.3
Botswana,Sekalanga,7.4
Brazil,Portuguese,100
British Virgin Islands,English,100
Brunei,Malay,100
Bulgaria,Bulgarian,76.8
Bulgaria,Turkish,8.2
Burkina Faso,French,100
Burma,Burmese,100
Burundi,,
Cabo Verde,Portuguese,100
Cambodia,Khmer,96.3
Cameroon,English,100
Canada,English,58.7
Canada,French,22
Cayman Islands,English,90.9
Central African Republic,French,100
Chad,French,100
Chile,Spanish,99.5
China,Mandarin,100
Christmas Island,,
Cocos (Keeling) Islands,,
Colombia,Spanish,100
Comoros,Arabic,100
"Congo, Democratic Republic of the",French,100
"Congo, Republic of the",French,100
Cook Islands,English,86.4
Costa Rica,Spanish,100
Cote d'Ivoire,French,100
Croatia,Croatian,95.6
Cuba,Spanish,100
Curacao,Papiamento,100
Cyprus,Greek,80.9
Czechia,Czech,95.4
Denmark,,
Dhekelia,,
Djibouti,French,100
Dominica,English,100
Dominican Republic,Spanish,100
Ecuador,Castilian,93
Egypt,Arabic,100
El Salvador,Spanish,100
Equatorial Guinea,,
Eritrea,Tiginya,100
Estonia,Estonia,68.5
Estonia,Russian,29.6
Eswatini,English,100
Ethiopia,,
European Union,,
Falkland Islands (Islas Malvinas),English,89
Faroe Islands,Faroese,93.8
Fiji,English,100
Finland,Finnish,87.9
France,French,100
French Polynesia,French,100
French Polynesia,Polynesian,28.2
Gabon,French,100
"Gambia, The",English,100
Gaza Strip,,
Georgia,Georgian,87.6
Germany,German,100
Ghana,,
Gibraltar,English,100
Greece,Greek,99
Greenland,Greenlandic,100
Grenada,English,100
Guam,,
Guatemala,Spanish,68.9
Guatemala,Maya,30.9
Guernsey,,
Guinea,French,100
Guinea-Bissau,Crioulo,100
Guyana,English,100
Haiti,French,100
Holy See (Vatican City),,
Honduras,Spanish,100
Hong Kong,Cantonese,88.9
Hungary,Hungarian,99.6
Iceland,Icelandic,100
India,,
Indonesia,Bahasa Indonesia,100
Iran,Persian,100
Iraq,Arabic ,100
Ireland,English,100
Isle of Man,English,100
Israel,Hebrew,100
Italy,Italian,100
Jamaica,English,100
Japan,Japanese,100
Jersey,English,94.5
Jordan,Arabic ,100
